year,holiday_id,hebrew_date,gregorian_date
1987,rosh_hashana_1,א' תשרי,1987-09-24
1987,rosh_hashana_2,ב' תשרי,1987-09-25
1987,yom_kippur,י' תשרי,1987-10-03
1987,sukkot,"ט""ו תשרי",1987-10-08
1987,hoshana_raba,"כ""א תשרי",1987-10-14
1988,pesach,"ט""ו ניסן",1988-04-02
1988,pesach_7,"כ""א ניסן",1988-04-08
1988,yom_haatzmaut,ה' אייר,1988-04-21
1988,shavuot,ו' סיוון,1988-05-22
1988,rosh_hashana_1,א' תשרי,1988-09-12
1988,rosh_hashana_2,ב' תשרי,1988-09-13
1988,yom_kippur,י' תשרי,1988-09-21
1988,sukkot,"ט""ו תשרי",1988-09-26
1988,hoshana_raba,"כ""א תשרי",1988-10-02
1989,pesach,"ט""ו ניסן",1989-04-20
1989,pesach_7,"כ""א ניסן",1989-04-26
1989,yom_haatzmaut,ה' אייר,1989-05-10
1989,shavuot,ו' סיוון,1989-06-09
1989,rosh_hashana_1,א' תשרי,1989-09-30
1989,rosh_hashana_2,ב' תשרי,1989-10-01
1989,yom_kippur,י' תשרי,1989-10-09
1989,sukkot,"ט""ו תשרי",1989-10-14
1989,hoshana_raba,"כ""א תשרי",1989-10-20
1990,pesach,"ט""ו ניסן",1990-04-10
1990,pesach_7,"כ""א ניסן",1990-04-16
1990,yom_haatzmaut,ה' אייר,1990-05-01
1990,shavuot,ו' סיוון,1990-05-30
1990,rosh_hashana_1,א' תשרי,1990-09-20
1990,rosh_hashana_2,ב' תשרי,1990-09-21
1990,yom_kippur,י' תשרי,1990-09-29
1990,sukkot,"ט""ו תשרי",1990-10-04
1990,hoshana_raba,"כ""א תשרי",1990-10-10
1991,pesach,"ט""ו ניסן",1991-03-30
1991,pesach_7,"כ""א ניסן",1991-04-05
1991,yom_haatzmaut,ה' אייר,1991-04-18
1991,shavuot,ו' סיוון,1991-05-19
1991,rosh_hashana_1,א' תשרי,1991-09-09
1991,rosh_hashana_2,ב' תשרי,1991-09-10
1991,yom_kippur,י' תשרי,1991-09-18
1991,sukkot,"ט""ו תשרי",1991-09-23
1991,hoshana_raba,"כ""א תשרי",1991-09-29
1992,pesach,"ט""ו ניסן",1992-04-18
1992,pesach_7,"כ""א ניסן",1992-04-24
1992,yom_haatzmaut,ה' אייר,1992-05-07
1992,shavuot,ו' סיוון,1992-06-07
1992,rosh_hashana_1,א' תשרי,1992-09-28
1992,rosh_hashana_2,ב' תשרי,1992-09-29
1992,yom_kippur,י' תשרי,1992-10-07
1992,sukkot,"ט""ו תשרי",1992-10-12
1992,hoshana_raba,"כ""א תשרי",1992-10-18
1993,pesach,"ט""ו ניסן",1993-04-06
1993,pesach_7,"כ""א ניסן",1993-04-12
1993,yom_haatzmaut,ה' אייר,1993-04-27
1993,shavuot,ו' סיוון,1993-05-26
1993,rosh_hashana_1,א' תשרי,1993-09-16
1993,rosh_hashana_2,ב' תשרי,1993-09-17
1993,yom_kippur,י' תשרי,1993-09-25
1993,sukkot,"ט""ו תשרי",1993-09-30
1993,hoshana_raba,"כ""א תשרי",1993-10-06
1994,pesach,"ט""ו ניסן",1994-03-27
1994,pesach_7,"כ""א ניסן",1994-04-02
1994,yom_haatzmaut,ה' אייר,1994-04-14
1994,shavuot,ו' סיוון,1994-05-16
1994,rosh_hashana_1,א' תשרי,1994-09-06
1994,rosh_hashana_2,ב' תשרי,1994-09-07
1994,yom_kippur,י' תשרי,1994-09-15
1994,sukkot,"ט""ו תשרי",1994-09-20
1994,hoshana_raba,"כ""א תשרי",1994-09-26
1995,pesach,"ט""ו ניסן",1995-04-15
1995,pesach_7,"כ""א ניסן",1995-04-21
1995,yom_haatzmaut,ה' אייר,1995-05-04
1995,shavuot,ו' סיוון,1995-06-04
1995,rosh_hashana_1,א' תשרי,1995-09-25
1995,rosh_hashana_2,ב' תשרי,1995-09-26
1995,yom_kippur,י' תשרי,1995-10-04
1995,sukkot,"ט""ו תשרי",1995-10-09
1995,hoshana_raba,"כ""א תשרי",1995-10-15
1996,pesach,"ט""ו ניסן",1996-04-04
1996,pesach_7,"כ""א ניסן",1996-04-10
1996,yom_haatzmaut,ה' אייר,1996-04-24
1996,shavuot,ו' סיוון,1996-05-24
1996,rosh_hashana_1,א' תשרי,1996-09-14
1996,rosh_hashana_2,ב' תשרי,1996-09-15
1996,yom_kippur,י' תשרי,1996-09-23
1996,sukkot,"ט""ו תשרי",1996-09-28
1996,hoshana_raba,"כ""א תשרי",1996-10-04
1997,pesach,"ט""ו ניסן",1997-04-22
1997,pesach_7,"כ""א ניסן",1997-04-28
1997,yom_haatzmaut,ה' אייר,1997-05-13
1997,shavuot,ו' סיוון,1997-06-11
1997,rosh_hashana_1,א' תשרי,1997-10-02
1997,rosh_hashana_2,ב' תשרי,1997-10-03
1997,yom_kippur,י' תשרי,1997-10-11
1997,sukkot,"ט""ו תשרי",1997-10-16
1997,hoshana_raba,"כ""א תשרי",1997-10-22
1998,pesach,"ט""ו ניסן",1998-04-11
1998,pesach_7,"כ""א ניסן",1998-04-17
1998,yom_haatzmaut,ה' אייר,1998-04-30
1998,shavuot,ו' סיוון,1998-05-31
1998,rosh_hashana_1,א' תשרי,1998-09-21
1998,rosh_hashana_2,ב' תשרי,1998-09-22
1998,yom_kippur,י' תשרי,1998-09-30
1998,sukkot,"ט""ו תשרי",1998-10-05
1998,hoshana_raba,"כ""א תשרי",1998-10-11
1999,pesach,"ט""ו ניסן",1999-04-01
1999,pesach_7,"כ""א ניסן",1999-04-07
1999,yom_haatzmaut,ה' אייר,1999-04-21
1999,shavuot,ו' סיוון,1999-05-21
1999,rosh_hashana_1,א' תשרי,1999-09-11
1999,rosh_hashana_2,ב' תשרי,1999-09-12
1999,yom_kippur,י' תשרי,1999-09-20
1999,sukkot,"ט""ו תשרי",1999-09-25
1999,hoshana_raba,"כ""א תשרי",1999-10-01
2000,pesach,"ט""ו ניסן",2000-04-20
2000,pesach_7,"כ""א ניסן",2000-04-26
2000,yom_haatzmaut,ה' אייר,2000-05-10
2000,shavuot,ו' סיוון,2000-06-09
2000,rosh_hashana_1,א' תשרי,2000-09-30
2000,rosh_hashana_2,ב' תשרי,2000-10-01
2000,yom_kippur,י' תשרי,2000-10-09
2000,sukkot,"ט""ו תשרי",2000-10-14
2000,hoshana_raba,"כ""א תשרי",2000-10-20
2001,pesach,"ט""ו ניסן",2001-04-08
2001,pesach_7,"כ""א ניסן",2001-04-14
2001,yom_haatzmaut,ה' אייר,2001-04-26
2001,shavuot,ו' סיוון,2001-05-28
2001,rosh_hashana_1,א' תשרי,2001-09-18
2001,rosh_hashana_2,ב' תשרי,2001-09-19
2001,yom_kippur,י' תשרי,2001-09-27
2001,sukkot,"ט""ו תשרי",2001-10-02
2001,hoshana_raba,"כ""א תשרי",2001-10-08
2002,pesach,"ט""ו ניסן",2002-03-28
2002,pesach_7,"כ""א ניסן",2002-04-03
2002,yom_haatzmaut,ה' אייר,2002-04-17
2002,shavuot,ו' סיוון,2002-05-17
2002,rosh_hashana_1,א' תשרי,2002-09-07
2002,rosh_hashana_2,ב' תשרי,2002-09-08
2002,yom_kippur,י' תשרי,2002-09-16
2002,sukkot,"ט""ו תשרי",2002-09-21
